DATE,CUSR0000SETG01
1/1/1989,128
2/1/1989,128.6
3/1/1989,128.8
4/1/1989,129.7
5/1/1989,130.5
6/1/1989,132
7/1/1989,133
8/1/1989,133.8
9/1/1989,134.1
10/1/1989,134.8
11/1/1989,134.4
12/1/1989,133.1
1/1/1990,134.8
2/1/1990,138.2
3/1/1990,141
4/1/1990,144.1
5/1/1990,145.9
6/1/1990,147.9
7/1/1990,148.8
8/1/1990,149.9
9/1/1990,152.8
10/1/1990,156.6
11/1/1990,159.3
12/1/1990,162.8
1/1/1991,163.2
2/1/1991,164.5
3/1/1991,159.4
4/1/1991,151.9
5/1/1991,151.6
6/1/1991,153.9
7/1/1991,153.8
8/1/1991,155.8
9/1/1991,153.3
10/1/1991,150.2
11/1/1991,150.6
12/1/1991,153.1
1/1/1992,156
2/1/1992,154.7
3/1/1992,158.8
4/1/1992,160.7
5/1/1992,155.5
6/1/1992,145.4
7/1/1992,150.1
8/1/1992,147.8
9/1/1992,146.1
10/1/1992,157.6
11/1/1992,164.5
12/1/1992,165.7
1/1/1993,170.7
2/1/1993,174.4
3/1/1993,173.4
4/1/1993,172.1
5/1/1993,176.3
6/1/1993,174.7
7/1/1993,179.6
8/1/1993,179.8
9/1/1993,180.8
10/1/1993,180.8
11/1/1993,188.3
12/1/1993,193.8
1/1/1994,191.5
2/1/1994,191.8
3/1/1994,195.5
4/1/1994,192.3
5/1/1994,182.1
6/1/1994,182.3
7/1/1994,184.7
8/1/1994,187.4
9/1/1994,185.2
10/1/1994,179.9
11/1/1994,177.8
12/1/1994,175.3
1/1/1995,179.5
2/1/1995,181.4
3/1/1995,188.5
4/1/1995,191.2
5/1/1995,191.2
6/1/1995,200.4
7/1/1995,199.2
8/1/1995,191.6
9/1/1995,189.7
10/1/1995,193.7
11/1/1995,191.5
12/1/1995,178.4
1/1/1996,179.4
2/1/1996,188.4
3/1/1996,187.9
4/1/1996,187.7
5/1/1996,189.2
6/1/1996,192.1
7/1/1996,192.9
8/1/1996,190.9
9/1/1996,196
10/1/1996,200.1
11/1/1996,200.1
12/1/1996,204.7
1/1/1997,198.1
2/1/1997,192.9
3/1/1997,201.6
4/1/1997,204.1
