callsign,icao24,origin,destination,firstseen
CHH7924,781060,KLAX,KBOS,12/31/2019
AAL167,a08021,KLAX,KBOS,12/31/2019
JBU488,adcd6d,KLAX,KBOS,12/31/2019
JBU598,acca19,KSEA,KBOS,12/31/2019
AAL2320,a114f4,KPHX,KBOS,12/31/2019
JBU688,adc5ff,KLAX,KBOS,12/31/2019
AAL2306,a68e7c,KDFW,KBOS,12/31/2019
DAL2810,a99b83,KLAX,KBOS,12/31/2019
UAL545,a43ea3,KIAH,KBOS,12/31/2019
AAL1251,ac3558,KORD,KBOS,12/31/2019
JBU1932,a781d7,KIAH,KBOS,12/31/2019
AAL1628,a0a7a0,KLAX,KBOS,12/31/2019
UAL790,a9d5e4,KORD,KBOS,12/31/2019
AAL2763,a12625,KPHX,KBOS,1/1/2020
AAL1172,a3d4ed,KORD,KBOS,1/1/2020
AAL1456,ac81cc,KDFW,KBOS,1/1/2020
JBU714,a683a8,KDFW,KBOS,1/1/2020
AAL1890,ac72f0,KDFW,KBOS,1/1/2020
JBU112,a20d01,KORD,KBOS,1/1/2020
ASA438,a2b562,KLAX,KBOS,1/1/2020
JBU602,ab0416,KPHX,KBOS,1/1/2020
AAL2588,ad857e,KPHX,KBOS,1/1/2020
AAL2455,adcca6,KLAX,KBOS,1/1/2020
UAL2402,a16ee0,KLAX,KBOS,1/1/2020
ASA24,a29cbf,KSEA,KBOS,1/1/2020
JBU498,ad7e6f,KSEA,KBOS,1/1/2020
AAL2800,a06010,KLAX,KBOS,1/1/2020
JBU988,adc9b6,KLAX,KBOS,1/1/2020
JBU1836,a27600,KDTW,KBOS,1/1/2020
JBU412,a32ef8,KORD,KBOS,1/1/2020
RPA5890,a1a1b6,KORD,KBOS,1/1/2020
UAL1253,a9dc5e,KIAH,KBOS,1/1/2020
JBU288,ad27f3,KLAX,KBOS,1/1/2020
AAL2723,ac51b2,KORD,KBOS,1/1/2020
AAL1423,aca760,KLAX,KBOS,1/1/2020
JBU1012,a3f0bc,KORD,KBOS,1/1/2020
UAL2426,a8d4b0,KIAH,KBOS,1/1/2020
UAL824,a81006,KLAX,KBOS,1/1/2020
RPA6007,a24369,KORD,KBOS,1/1/2020
AAL1569,ab6c26,KPHX,KBOS,1/1/2020
AAL1853,adda24,KDFW,KBOS,1/1/2020
UAL2053,ac64cf,KIAH,KBOS,1/1/2020
UAL1420,a5f1ca,KORD,KBOS,1/1/2020
ASA12,a27f07,KSEA,KBOS,1/1/2020
AAL167,a06646,KLAX,KBOS,1/1/2020
JBU488,adabfe,KLAX,KBOS,1/1/2020
JBU598,addadb,KSEA,KBOS,1/1/2020
AAL2579,a17708,KDFW,KBOS,1/1/2020
UAL578,aba91b,KORD,KBOS,1/1/2020
AAL2320,a0d72b,KPHX,KBOS,1/1/2020
AAL2321,ad1fc8,KORD,KBOS,1/1/2020
DAL1843,ab83e8,KSEA,KBOS,1/1/2020
UAL913,a8d4ef,KORD,KBOS,1/1/2020
AAL2306,a17527,KDFW,KBOS,1/1/2020
JBU688,ad2095,KLAX,KBOS,1/1/2020
DAL2120,a98539,KLAX,KBOS,1/1/2020
UAL545,a837a7,KIAH,KBOS,1/1/2020
JBU1932,a83876,KIAH,KBOS,1/1/2020
AAL1251,ad83b2,KORD,KBOS,1/1/2020
AAL1628,acdbee,KLAX,KBOS,1/2/2020
AAL1172,acc31a,KORD,KBOS,1/2/2020
AAL2763,a7178c,KPHX,KBOS,1/2/2020
UAL1578,aa2ba4,KIAH,KBOS,1/2/2020
AAL1456,aca594,KDFW,KBOS,1/2/2020
JBU714,a74923,KDFW,KBOS,1/2/2020
AAL2682,acf849,KORD,KBOS,1/2/2020
AAL1890,aced24,KDFW,KBOS,1/2/2020
UAL670,a0acf8,KORD,KBOS,1/2/2020
ASA438,a29cbf,KLAX,KBOS,1/2/2020
JBU602,a8c796,KPHX,KBOS,1/2/2020
AAL2455,a0ebab,KLAX,KBOS,1/2/2020
AAL2588,a657bf,KPHX,KBOS,1/2/2020
ASA24,a29551,KSEA,KBOS,1/2/2020
DAL1493,a44d1c,KSEA,KBOS,1/2/2020
AAL2800,a08663,KLAX,KBOS,1/2/2020
UAL2402,a11f59,KLAX,KBOS,1/2/2020
JBU498,ad7ab8,KSEA,KBOS,1/2/2020
JBU988,ad27f3,KLAX,KBOS,1/2/2020
RPA5890,a2147c,KORD,KBOS,1/2/2020
UAL342,a4c0f7,KORD,KBOS,1/2/2020
AAL2384,a3a9af,KORD,KBOS,1/2/2020
AAL1423,a0ade2,KLAX,KBOS,1/2/2020
UAL1253,a44544,KIAH,KBOS,1/2/2020
JBU288,adc5ff,KLAX,KBOS,1/2/2020
AAL2747,ace96c,KDFW,KBOS,1/2/2020
AAL2723,ac81cc,KORD,KBOS,1/2/2020
JBU1012,a43fba,KORD,KBOS,1/2/2020
UAL2426,a44565,KIAH,KBOS,1/2/2020
DAL1163,ab34f3,KSEA,KBOS,1/2/2020
DAL1526,a82520,KLAX,KBOS,1/2/2020
UAL1420,ac121a,KORD,KBOS,1/2/2020
UAL824,a583f5,KLAX,KBOS,1/2/2020
ASA12,a28de3,KSEA,KBOS,1/2/2020
RPA6007,a1c57e,KORD,KBOS,1/2/2020
AAL1569,ab0a95,KPHX,KBOS,1/2/2020
AAL1853,a0cb68,KDFW,KBOS,1/2/2020
UAL1153,a4b21b,KORD,KBOS,1/2/2020
UAL2053,ab741e,KIAH,KBOS,1/2/2020
AAL167,a09533,KLAX,KBOS,1/2/2020
AAL2579,a15e71,KDFW,KBOS,1/2/2020
UAL578,a46d29,KORD,KBOS,1/2/2020
AAL2321,addf01,KORD,KBOS,1/2/2020
UAL790,a611db,KORD,KBOS,1/3/2020
AAL2763,adacfd,KPHX,KBOS,1/3/2020
AAL1172,acf492,KORD,KBOS,1/3/2020
AAL1456,ac97e4,KDFW,KBOS,1/3/2020
JBU1336,a38cd2,KDTW,KBOS,1/3/2020
AAL2320,acd64b,KPHX,KBOS,1/3/2020
UAL1578,a46d4f,KIAH,KBOS,1/3/2020
RPA6027,abfb99,KORD,KBOS,1/3/2020
DAL1237,a38992,KDTW,KBOS,1/3/2020
AAL2682,ad2c19,KORD,KBOS,1/3/2020
AAL1890,ad6758,KDFW,KBOS,1/3/2020
UAL670,a3a0eb,KORD,KBOS,1/3/2020
JBU112,a1741a,KORD,KBOS,1/3/2020
ASA438,a29cbf,KLAX,KBOS,1/3/2020
ASA24,a5939c,KSEA,KBOS,1/3/2020
JBU714,aa600a,KDFW,KBOS,1/3/2020
AAL2588,acda02,KPHX,KBOS,1/3/2020
AAL2455,acdbee,KLAX,KBOS,1/3/2020
JBU602,a883bd,KPHX,KBOS,1/3/2020
UAL2402,a05a01,KLAX,KBOS,1/3/2020
AAL2800,a0628f,KLAX,KBOS,1/3/2020
JBU988,adc5ff,KLAX,KBOS,1/3/2020
JBU498,ad60b7,KSEA,KBOS,1/3/2020
JBU1836,a2b622,KDTW,KBOS,1/3/2020
JBU412,a3f473,KORD,KBOS,1/3/2020
RPA5890,a24720,KORD,KBOS,1/3/2020
UAL342,a5f938,KORD,KBOS,1/3/2020
DAL2437,a3c233,KDTW,KBOS,1/3/2020
AAL2384,ad4747,KORD,KBOS,1/3/2020
AAL2747,a0d19e,KDFW,KBOS,1/3/2020
JBU288,adc238,KLAX,KBOS,1/3/2020
AAL1423,a09533,KLAX,KBOS,1/3/2020
UAL1253,aaa244,KIAH,KBOS,1/3/2020
AAL2723,ad5d5f,KORD,KBOS,1/3/2020
DAL1492,a017a5,KDTW,KBOS,1/3/2020
JBU2036,a32ef8,KDTW,KBOS,1/3/2020
JBU1012,a2033a,KORD,KBOS,1/3/2020
UAL2426,aa2bc2,KIAH,KBOS,1/3/2020
DAL1163,ab2b2c,KSEA,KBOS,1/3/2020
DAL1526,a98219,KLAX,KBOS,1/3/2020
ASA12,a30f85,KSEA,KBOS,1/3/2020
UAL824,a92362,KLAX,KBOS,1/3/2020
UAL1420,ab1db2,KORD,KBOS,1/3/2020
RPA6007,a23fb2,KORD,KBOS,1/3/2020
AAL1569,abc292,KPHX,KBOS,1/3/2020
