callsign,Airlines,icao24,origin,destination,firstseen
SWA2426,,aa7a83,KLAX,KSFO,4/1/2020
AAL1095,American Airlines,acd296,KLAX,KSFO,4/1/2020
ASA1943,,a86ace,KLAX,KSFO,4/1/2020
SWA1330,,aa1f65,KLAX,KSFO,4/1/2020
AAL892,American Airlines,aa6ed1,KLAX,KSFO,4/1/2020
ASA1945,,ab9091,KLAX,KSFO,4/1/2020
DAL2620,,ab1ffe,KLAX,KSFO,4/1/2020
SWA1369,,aa7a83,KLAX,KSFO,4/1/2020
ASA951,,abb459,KLAX,KSFO,4/1/2020
CPZ6085,,a19e61,KLAX,KSFO,4/1/2020
AAR286,,71bc23,KLAX,KSFO,4/1/2020
KAL214,,71be39,KLAX,KSFO,4/1/2020
CKS1920,,aa41c4,KLAX,KSFO,4/1/2020
GTI7109,,a4c02d,KLAX,KSFO,4/1/2020
AAL2891,American Airlines,a06010,KLAX,KSFO,4/1/2020
AAL2861,American Airlines,ac4dfb,KLAX,KSFO,4/1/2020
CAL5107,,89911c,KLAX,KSFO,4/1/2020
ASA1929,,a697db,KLAX,KSFO,4/1/2020
SWA1328,,aca01a,KLAX,KSFO,4/1/2020
UAL2237,,abb7f7,KLAX,KSFO,4/1/2020
DAL2803,,a36f7e,KLAX,KSFO,4/2/2020
ASA1933,,a2b562,KLAX,KSFO,4/2/2020
AAL1095,American Airlines,a78e09,KLAX,KSFO,4/2/2020
SWA1330,,aca01a,KLAX,KSFO,4/2/2020
CPZ6085,,a1c997,KLAX,KSFO,4/2/2020
AAL892,American Airlines,aa4ac9,KLAX,KSFO,4/2/2020
AAR284,,71bc13,KLAX,KSFO,4/2/2020
KAL214,,71be29,KLAX,KSFO,4/2/2020
CKS1920,,aa41c4,KLAX,KSFO,4/2/2020
SWA1324,,abe056,KLAX,KSFO,4/2/2020
AAL2891,American Airlines,a06010,KLAX,KSFO,4/2/2020
AAL2861,American Airlines,ad5c33,KLAX,KSFO,4/2/2020
CAL5107,,89911b,KLAX,KSFO,4/2/2020
ASA1921,,ab8cda,KLAX,KSFO,4/2/2020
UAL2237,,ac523c,KLAX,KSFO,4/2/2020
AAL1095,American Airlines,a1427f,KLAX,KSFO,4/3/2020
SWA1330,,a562e8,KLAX,KSFO,4/3/2020
AAL892,American Airlines,aa55ee,KLAX,KSFO,4/3/2020
ASA951,,a86717,KLAX,KSFO,4/3/2020
CKS1920,,aa50a0,KLAX,KSFO,4/3/2020
DAL2313,,a3ad47,KLAX,KSFO,4/3/2020
AAR286,,71bc19,KLAX,KSFO,4/3/2020
AAL2861,American Airlines,ad1218,KLAX,KSFO,4/3/2020
SWA1328,,a1e6b9,KLAX,KSFO,4/3/2020
SWA2426,,a196c8,KLAX,KSFO,4/4/2020
ASA1933,,a86717,KLAX,KSFO,4/4/2020
AAL1095,American Airlines,a6e89f,KLAX,KSFO,4/4/2020
SWA1330,,a1e6b9,KLAX,KSFO,4/4/2020
AAL892,American Airlines,aa1219,KLAX,KSFO,4/4/2020
ASA1945,,a5b3ad,KLAX,KSFO,4/4/2020
SWA1369,,a196c8,KLAX,KSFO,4/4/2020
ASA951,,a86717,KLAX,KSFO,4/4/2020
AAR284,,71bc21,KLAX,KSFO,4/4/2020
KAL214,,71be17,KLAX,KSFO,4/4/2020
GTI7109,,a4c02d,KLAX,KSFO,4/4/2020
AAL2891,American Airlines,a08021,KLAX,KSFO,4/4/2020
DAL2313,,a3ad47,KLAX,KSFO,4/4/2020
AAL2861,American Airlines,aaee3b,KLAX,KSFO,4/4/2020
CAL5107,,899102,KLAX,KSFO,4/4/2020
