callsign,Column1,icao24,origin,destination,firstseen
CSN461,,780daa,KLAX,EDDF,2/29/2020
FDX197,,abab90,PANC,RKSI,2/29/2020
SIA1,,76cdb6,KSFO,WSSS,2/29/2020
AIC184,,8004da,KSFO,VIDP,2/29/2020
CSN432,,7800eb,KORD,,2/29/2020
CMP800,,0c20b9,KBOS,SBGR,2/29/2020
CMP236,,0c205f,KORD,,2/29/2020
UAL1261,,a2dffe,KORD,KORD,2/29/2020
HAL89,,a44357,KBOS,RJTT,2/29/2020
GTI217,,a561fd,KLAX,,2/29/2020
HAL1,,a48379,KLAX,,2/29/2020
UAL1674,,a8ad4e,KORD,KIAD,2/29/2020
HAL35,,a455ea,KPHX,RJTL,2/29/2020
MAA6851,,a4fc9a,KLAX,SKMA,2/29/2020
JBU2893,,a7858e,KBOS,KBOS,2/29/2020
UAL1041,,a44611,KIAH,KEWR,2/29/2020
DAL295,,a661c7,KATL,KDTW,2/29/2020
CKS583,,a9876e,PANC,PANC,2/29/2020
UAL718,,aba30b,KIAH,KSFO,2/29/2020
UAL6,,aa92f8,KIAH,KIAH,2/29/2020
AAL2865,,a3244f,KDFW,KLGA,2/29/2020
DAL187,,a14fe0,KLAX,,2/29/2020
ASH6360,,ac2bd9,KIAH,KIAH,2/29/2020
ANA173,,869122,KIAH,KLAX,2/29/2020
AAL175,,a9d9f7,KDFW,KDFW,2/29/2020
UAL1679,,a9238a,KSFO,KSFO,2/29/2020
CAO1056,,780bb8,KORD,,2/29/2020
AAL281,,ab349f,KDFW,RKSI,2/29/2020
DAL1858,,a3a222,KDTW,KLAX,2/29/2020
SIA27,,76cdb2,KSEA,WSAP,2/29/2020
DAL275,,a65800,KDTW,RJAK,2/29/2020
DAL159,,a66935,KDTW,,2/29/2020
DAL1239,,aba1a0,KDTW,KSEA,2/29/2020
GTI7109,,a4bc76,KSFO,RCTP,2/29/2020
DAL94,,abbee3,KDTW,KDTW,2/29/2020
GTI8986,,a5ad44,PANC,PANC,2/29/2020
DAL744,,a3c9b4,KATL,KBOS,2/29/2020
UAE222,,896451,KDFW,OMDB,2/29/2020
UAL1276,,a4945f,KLAX,KLAX,2/29/2020
SIA31,,76cd41,KSFO,WSAP,2/29/2020
JAL11,,86e4b8,KDFW,KBOS,2/29/2020
AAL1188,,acf849,KDFW,KDFW,2/29/2020
AAL2813,,ac760d,KDFW,KMIA,2/29/2020
UAL882,,a1dcb4,KORD,KORD,2/29/2020
AIC174,,8004dc,KSFO,VIDP,2/29/2020
AAL27,,ab5867,KLAX,RJTT,2/29/2020
JBU1833,,adbaca,KBOS,KSFO,2/29/2020
AIC126,,800462,KORD,VIDP,2/29/2020
DAL7,,abda48,KLAX,RJTT,2/29/2020
ANA175,,868e7c,KLAX,WSAP,2/29/2020
UAL32,,a596b1,KLAX,RJAK,2/29/2020
AAL1057,,a158c9,KBOS,KPHX,2/29/2020
UAL875,,a05628,KSFO,RJTT,2/29/2020
ASA806,,a76fe9,PANC,KSAN,2/29/2020
UPS108,,a3a67b,PANC,,2/29/2020
CKK222,,78062f,KLAX,,2/29/2020
CPZ6014,,a19e61,KLAX,KHHR,2/29/2020
CAL5384,,89911c,PANC,KMIA,2/29/2020
UAL29,,a2a3af,KSFO,WSAP,2/29/2020
BOX491,,3c4588,KDFW,EDDF,2/29/2020
PAL113,,75827b,KLAX,RPLL,2/29/2020
AAR201,,71be25,KLAX,RKSI,2/29/2020
DAL468,,a13386,KLAX,KJFK,2/29/2020
CSN478,,7805a9,KLAX,RJBB,2/29/2020
UPS104,,a4009e,PANC,RJBB,2/29/2020
DAL199,,a4b827,KSEA,RKSI,2/29/2020
DAL2235,,a396fd,KORD,60CO,2/29/2020
ACA798,,c01aab,KLAX,CYUL,2/29/2020
UAL535,,a1cb0f,KSFO,KEWR,2/29/2020
GTI7159,,a658a1,PANC,,2/29/2020
UAL893,,a13de2,KSFO,RKRB,2/29/2020
DAL182,,a9704d,KSEA,KJFK,2/29/2020
UPS62,,a7ea7e,PANC,VHHH,2/29/2020
SIA7980,,76cccb,PANC,KLAX,2/29/2020
SKW5606,,acf62a,KSFO,KSFO,2/29/2020
UPS64,,a7dba2,PANC,RKSI,2/29/2020
DAL167,,a4bbde,KSEA,KSEA,2/29/2020
CMP229,,0c2059,KORD,,2/29/2020
THT8,,3a4dc0,KLAX,LFPG,2/29/2020
EJA742,,a9fb67,KSFO,,2/29/2020
DAL3078,,a40d7a,KORD,KSEA,2/29/2020
AAL169,,ab7613,KLAX,KLAX,2/29/2020
UAL35,,a18cbb,KSFO,RJBB,2/29/2020
KAL262,,71be09,KSEA,RKSI,2/29/2020
DAL1244,,a36200,KSEA,KRDU,2/29/2020
UAL1865,,a39c62,KSFO,KBOS,2/29/2020
AAL460,,ada336,KPHX,KPHL,2/29/2020
AAL2639,,a3cd7d,KORD,KSFO,2/29/2020
VOZ6,,7c6c6f,KLAX,YBBN,2/29/2020
DAL2046,,a4795a,KATL,KPHX,2/29/2020
AAL16,,a014c9,KSFO,KJFK,2/29/2020
AAL658,,a75b65,KLAX,KPHL,2/29/2020
DAL752,,a42a5c,KATL,KSAN,2/29/2020
AAL290,,acb636,KLAX,KAKH,2/29/2020
UAL351,,a146f9,KBOS,KSFO,2/29/2020
DAL745,,acdc40,KSFO,KDTW,2/29/2020
AAL1375,,acb0b9,KORD,KHHR,2/29/2020
UAL448,,ab890a,KBOS,CO12,2/29/2020
QXE2557,,a831b2,KSEA,KSEA,2/29/2020
DAL1220,,ac5488,KATL,KLAX,2/29/2020
DAL2688,,a8e20f,KPHX,KJFK,2/29/2020
UAL2050,,a58de0,KIAH,KSEA,2/29/2020
DAL2147,,a789bc,KSEA,KDTW,2/29/2020
DAL118,,abe1b6,KLAX,LFPG,2/29/2020
UAL115,,a2ca64,KSFO,NTAA,2/29/2020
UAL269,,a8d4cc,KLAX,KORD,2/29/2020
AAL1268,,a1057a,KLAX,KMIA,2/29/2020
SWA2745,,aaa107,KATL,KLAX,2/29/2020
SWA4680,,abc504,KBOS,CO12,2/29/2020
UAL944,,a1d18f,KORD,EDDF,2/29/2020
JAL67,,86dcc4,KSEA,KSEA,2/29/2020
UAL1457,,aa7427,KIAH,,2/29/2020
UAL1973,,a8d4d2,KIAH,KSFO,2/29/2020
JBU687,,ad7e6f,KBOS,KLAX,2/29/2020
AAR271,,71c308,KSEA,RKSI,2/29/2020
AAL1161,,a0f1bb,KBOS,KLAX,2/29/2020
ACA756,,c058c0,KSFO,CYYZ,2/29/2020
ASA36,,a2d1bc,KSEA,KORD,2/29/2020
NKS1167,,a86a28,KORD,KPHX,2/29/2020
ACA792,,c058aa,KLAX,CYYZ,2/29/2020
SKW3127,,a94c4e,KDFW,KPHX,2/29/2020
SWA5256,,abb172,KSEA,KMDW,2/29/2020
AAL1491,,ad0725,KORD,KSNA,2/29/2020
AIJ3971,,0d0bcc,KDFW,,2/29/2020
AAL2683,,ad5d5f,KDFW,KSFO,2/29/2020
ASA159,,a2e098,KSEA,PANC,2/29/2020
DAL2488,,a8aac8,KSFO,KBOS,2/29/2020
DAL82,,aaf1fa,KATL,LFPG,2/29/2020
AAL785,,a0f73c,KSFO,KAKH,2/29/2020
DAL1885,,a6c4d3,KDTW,KLAX,2/29/2020
AAL2320,,a704f9,KPHX,KBOS,2/29/2020
ASA298,,a6c6c8,KLAX,MROC,2/29/2020
TAI523,,a93238,KLAX,MROC,2/29/2020
DAL34,,a0f7c1,KSEA,LFPG,2/29/2020
FDX23,,abde34,PANC,VHHH,2/29/2020
DAL132,,ab4866,KDTW,EHAM,2/29/2020
AAL2202,,addb4a,KLAX,KBNA,2/29/2020
ASA388,,a79d78,KSFO,KFLL,2/29/2020
RPA3505,,a8a0d9,KDFW,KEWR,2/29/2020
DAL1092,,ab400f,KDTW,KSEA,2/29/2020
DAL1750,,abda54,KDTW,KSFO,2/29/2020
DAL590,,a3fb6f,KDTW,KLAS,2/29/2020
JBU965,,ade9c0,KBOS,KRSW,2/29/2020
UAL854,,a8b5fc,KIAH,,2/29/2020
JBU19,,ace063,KBOS,KSAN,2/29/2020
DAL2691,,a3d039,KPHX,KDTW,2/29/2020
ASA282,,a54aae,KLAX,,2/29/2020
UAL443,,a49510,KIAH,KEWR,2/29/2020
AAL274,,a04641,KLAX,KJFK,2/29/2020
UAL2104,,aa3ae2,KDCA,60CO,2/29/2020
FFT2131,,a3414e,KDTW,KLAS,2/29/2020
QXE2714,,a86e1d,KSEA,KDAL,2/29/2020
JBU471,,a69894,KBOS,KSJC,2/29/2020
ASA1391,,abb0a2,KSFO,KSFO,2/29/2020
DAL142,,ab5d52,KSEA,EHAM,2/29/2020
ROU1836,,c058af,KPHX,CYYZ,2/29/2020
GTI7160,,a4c02d,PANC,KORD,2/29/2020
DAL1254,,a3b028,KDTW,KPHX,2/29/2020
CKS823,,a97c49,PANC,KJFK,2/29/2020
JBU524,,ad9ac9,KLAX,KJFK,2/29/2020
SKW5710,,a50869,KSFO,60CO,2/29/2020
WJA1771,,c08081,KPHX,CYVR,2/29/2020
UAL479,,a75103,KLAX,KEWR,2/29/2020
SWA5644,,aca3d1,KDCA,KAUS,2/29/2020
AAL767,,accb22,KBOS,KPHX,2/29/2020
AAL383,,a49cd7,KSFO,KMIA,2/29/2020
SWA4902,,a52f51,KLAX,KMDW,2/29/2020
AAL1310,,a0bcb2,KDCA,KDFW,2/29/2020
ASA7091,,a828e1,PANC,KSEA,2/29/2020
DLH443,,3c64ed,KDTW,EDDF,2/29/2020
UAL727,,a1befc,KSFO,KIAD,2/29/2020
AAL1297,,ac81d2,KLAX,KMIA,2/29/2020
AAL2532,,a4dd65,KLAX,KDCA,2/29/2020
SWA2993,,a63bf4,KPHX,KCLE,2/29/2020
AAL1187,,ad9645,KORD,TJIG,2/29/2020
DAL1007,,a3813b,KDTW,KSAN,2/29/2020
SWA3101,,aa72d3,KPHX,KBWI,2/29/2020
JAL69,,86e84c,KLAX,RJBB,2/29/2020
DAL1344,,ac4d1a,KSFO,KMSP,2/29/2020
