callsign,Column1,icao24,origin,destination,firstseen
ASA64,,a7fdab,PANC,KSEA,4/30/2020
DAL2680,,acb4c1,KATL,KSEA,4/30/2020
JBU488,,adbaca,KLAX,KBOS,4/30/2020
JBU516,,ad7e6f,KSFO,KJFK,4/30/2020
ASA426,,ace785,KSEA,KJFK,4/30/2020
UAL838,,a09fc4,KSFO,KSFO,4/30/2020
UAL415,,a05a01,KLAX,KORD,4/30/2020
CKS981,,a4b8bf,PANC,KORD,4/30/2020
UAL305,,a1befc,KORD,KSFO,4/30/2020
JBU633,,ad9ac9,KBOS,KSFO,4/30/2020
SOO8946,,a95ca4,PANC,KORD,4/30/2020
AAL883,,a791c0,KPHX,KORD,4/30/2020
NKS297,,a68414,KDTW,KLAS,4/30/2020
JBU2800,,adcd6d,KLAX,KFLL,4/30/2020
UAL2747,,a4e4bf,KIAH,KSFO,4/30/2020
SIA7952,,76cccd,PANC,KDFW,4/30/2020
DAL887,,a44502,KATL,KPDX,4/30/2020
JBU932,,aaa02c,KIAH,KBOS,4/30/2020
DAL2871,,ac01d3,KATL,KDEN,4/30/2020
AAL2009,,ac96be,KDFW,KSEA,4/30/2020
AAL1175,,a0f91d,KDFW,KSFO,4/30/2020
UAL1554,,aa568f,KDCA,KSFO,4/30/2020
AAL1463,,ac7a52,KDFW,KORD,4/30/2020
AAL1485,,adab31,KORD,KSEA,4/30/2020
AAL2334,,ad3d4e,KDFW,KPHL,4/30/2020
DAL1092,,a441d6,KDTW,KSEA,4/30/2020
DAL1262,,a3f4d7,KPHX,KSEA,4/30/2020
ASA51,,abb459,KORD,KSEA,4/30/2020
AAL401,,a7302f,KLAX,KORD,4/30/2020
AAL1251,,a35e66,KORD,KBOS,4/30/2020
AAL242,,ac0dd9,KATL,KDFW,4/30/2020
AAL1119,,ac18fe,KATL,KORD,4/30/2020
UPS105,,a353c6,PANC,KSDF,4/30/2020
UPS67,,a2682a,PANC,KSDF,4/30/2020
NKS736,,a6b1a3,KLAX,KORD,4/30/2020
AAL2240,,ad63a1,KSEA,KDFW,4/30/2020
AAL187,,a11b00,KLAX,KPHL,4/30/2020
UPS99,,a75b5e,PANC,KSDF,4/30/2020
QXE2165,,a83920,KPHX,KSEA,4/30/2020
AAL147,,a101c3,KLAX,KDFW,4/30/2020
NKS258,,a6a7dc,KIAH,KFLL,4/30/2020
AAL891,,a0ddfb,KPHX,KORD,4/30/2020
AAL1776,,ab3c15,KBOS,KPHL,4/30/2020
UPS63,,a806d8,PANC,KSDF,4/30/2020
ASA525,,ab9091,KLAX,KSEA,4/30/2020
JBU197,,ad7ab8,KBOS,KSEA,4/30/2020
JBU1336,,a15b77,KDTW,KBOS,4/30/2020
AAL139,,ad9bc8,KSFO,KDFW,4/30/2020
AAL496,,ab2ad8,KORD,KDFW,4/30/2020
UPS61,,a7f7fc,PANC,KSDF,4/30/2020
DAL2855,,a448db,PANC,KSEA,4/30/2020
KAL8255,,71be29,PANC,KDFW,4/30/2020
JBU2469,,a73a47,KBOS,KFLL,4/30/2020
KAL233,,71c076,PANC,KORD,4/30/2020
ASA66,,a80c87,PANC,KSEA,4/30/2020
AAL1172,,aafd17,KORD,KBOS,4/30/2020
UPS77,,a7ff6a,PANC,KSDF,4/30/2020
JBU517,,a3f473,KBOS,KJFK,4/30/2020
SKW3456,,a1600b,KLAX,KSJC,4/30/2020
GJS4428,,a690fb,KORD,KSDF,4/30/2020
ASA104,,a340d2,PANC,KSEA,4/30/2020
ASA26,,abaceb,KSEA,KORD,4/30/2020
ASA596,,a2228b,KSEA,KLAS,4/30/2020
GTI2428,,a60b1e,PANC,KORD,4/30/2020
DAL31,,a3d4c6,KATL,KDFW,4/30/2020
AAL578,,a138b8,KPHX,KSEA,4/30/2020
AAL277,,a07177,KLAX,KLAS,4/30/2020
AAL2826,,ab1fa7,KDFW,KORD,4/30/2020
DAL992,,a44d1c,KATL,KSFO,4/30/2020
ASA405,,acc3bd,KSEA,KSFO,5/1/2020
AAL2733,,a75b65,KLAX,KDFW,5/1/2020
AAL1771,,a657bf,KDFW,KLAS,5/1/2020
QXE2209,,a83569,KSFO,KSEA,5/1/2020
AAL1766,,a0f1bb,KPHX,KDFW,5/1/2020
SKW5381,,a0808f,KATL,KORD,5/1/2020
RPA5646,,a1b092,KDTW,KSDF,5/1/2020
AAL52,,ad9f7f,KATL,KDFW,5/1/2020
AAL686,,a742c2,KPHX,KSFO,5/1/2020
ASA324,,a74e7a,KSEA,KSJC,5/1/2020
CAL5236,,899106,PANC,KORD,5/1/2020
AAL425,,a7cb0b,KPHX,KLAS,5/1/2020
DAL1237,,a44a6d,KDTW,KBOS,5/1/2020
SKW3676,,aaf253,KDTW,KORD,5/1/2020
NKS2937,,ace0cf,KDTW,KDFW,5/1/2020
SWA339,,a5e0d3,KLAX,KSJC,5/1/2020
UAL2294,,a5b916,KORD,KPDX,5/1/2020
UAL1753,,aa56b3,KORD,KSFO,5/1/2020
SWA1289,,a31533,KLAX,KLAS,5/1/2020
AAL1797,,ac6445,KDFW,KLAS,5/1/2020
SWA2203,,a51b58,KSFO,KLAS,5/1/2020
SWA1480,,a9db78,KSEA,KLAS,5/1/2020
NKS1199,,a6c436,KIAH,KLAS,5/1/2020
QXE2668,,a4b1cc,KSEA,KPDX,5/1/2020
UAL713,,a3b268,KIAH,KORD,5/1/2020
AAL1271,,a04f75,KIAH,KDFW,5/1/2020
UAL1552,,a8fc09,KIAH,KSFO,5/1/2020
DAL401,,a3ed69,KSFO,KSEA,5/1/2020
UPS611,,a4c104,KORD,KPHL,5/1/2020
JBU112,,a182f6,KORD,KBOS,5/1/2020
AAL574,,ada296,KLAX,KDFW,5/1/2020
AAL630,,acca88,KPHX,KORD,5/1/2020
DAL952,,ad1c16,KATL,KSDF,5/1/2020
GTI654,,a6189c,PANC,KORD,5/1/2020
JBU2017,,a4034f,KBOS,KJFK,5/1/2020
DAL496,,a3c8cb,KATL,KBOS,5/1/2020
UPS751,,a2badf,KDFW,KSDF,5/1/2020
UAL2165,,a3cf4f,KLAX,KSFO,5/1/2020
DAL1010,,a44197,KLAX,KPDX,5/1/2020
DAL1846,,ade58c,KATL,KPHL,5/1/2020
NKS245,,a6a425,KORD,KLAS,5/1/2020
UPS1013,,a3ca43,KBOS,KSDF,5/1/2020
SKW3608,,a320f9,KSEA,KSJC,5/1/2020
UPS1305,,a2e25e,KATL,KSDF,5/1/2020
UAL1925,,aae757,KPHX,KSFO,5/1/2020
QXE2912,,a8609f,KLAX,KPDX,5/1/2020
UPS1017,,a08bdd,KBOS,KPHL,5/1/2020
DAL1699,,a01037,KSEA,KSFO,5/1/2020
UPS855,,a0a480,KPHX,KSDF,5/1/2020
SWA1424,,abb595,KATL,KDEN,5/1/2020
SKW2991,,aa60da,KORD,KSDF,5/1/2020
UPS903,,a3aa32,KLAX,KSDF,5/1/2020
DAL1836,,abe930,KLAX,KSEA,5/1/2020
UPS765,,a25d05,KDFW,KSDF,5/1/2020
SWA2008,,abf2c2,KPHX,KSFO,5/1/2020
UPS1481,,a280cd,KDTW,KSDF,5/1/2020
QXE2704,,a4b583,KSEA,KPDX,5/1/2020
NKS500,,a69549,KIAH,KORD,5/1/2020
AAL501,,ab0361,KLAX,KSEA,5/1/2020
DAL2637,,a3f4d7,KSEA,KLAS,5/1/2020
