callsign,,icao24,origin,destination,firstseen
UAL718,,a56dcf,KIAH,KSFO,1/31/2020
AAL1436,,adca15,KDFW,KDFW,1/31/2020
AAL2726,,ac1f0e,KDFW,KDFW,1/31/2020
CMP473,,0c2075,KLAX,KJFK,1/31/2020
DAL1163,,a491f1,KSEA,KBOS,1/31/2020
DAL2787,,a12fcf,KLAX,KJFK,1/31/2020
JBU2200,,ad7701,KLAX,KFLL,1/31/2020
JBU488,,ad6bdc,KLAX,KBOS,1/31/2020
CMP235,,0c20bc,SEAS,KORD,1/31/2020
JBU598,,ada227,KSEA,KBOS,1/31/2020
AAL4,,a04641,KLAX,KJFK,1/31/2020
AAL658,,ada336,KLAX,KPHL,1/31/2020
DAL182,,a997cc,KSEA,KJFK,1/31/2020
ASA1405,,a699a6,KSEA,KSEA,1/31/2020
DAL2688,,ab967b,KPHX,KJFK,1/31/2020
DAL167,,a4b827,KSEA,KSEA,1/31/2020
ASA39,,a535c2,KORD,KSEA,1/31/2020
ASA655,,a7398e,KDFW,KPDX,1/31/2020
DAL3078,,a37335,KORD,KSEA,1/31/2020
SKW5443,,adb437,KIAH,KDEN,1/31/2020
DAL468,,a144bb,KLAX,KJFK,1/31/2020
AAL460,,a19eff,KPHX,KPHL,1/31/2020
DAL1092,,ab6efc,KDTW,KSEA,1/31/2020
AAL2434,,a10d82,KPHX,KJFK,1/31/2020
FFT2131,,a3e55a,KDTW,KLAS,1/31/2020
ASA80,,a57d52,PANC,KSEA,1/31/2020
AAL2320,,a17170,KPHX,KBOS,1/31/2020
UAL269,,a8ec57,KLAX,KORD,1/31/2020
AAL2579,,acd296,KDFW,KBOS,1/31/2020
JBU688,,add376,KLAX,KBOS,1/31/2020
JBU524,,adabfe,KLAX,KJFK,1/31/2020
DAL590,,a34e97,KDTW,KLAS,1/31/2020
DAL1508,,a373da,KLAX,KDFW,1/31/2020
AAL2639,,ad4105,KORD,KSFO,1/31/2020
ASA34,,a5db2c,KSEA,KORD,1/31/2020
NKS736,,a65170,KLAX,KORD,1/31/2020
AAL1045,,ad6b0f,KSEA,KORD,1/31/2020
AAL15,,a08021,KLAX,KORD,1/31/2020
UAL1073,,aa56b4,KDTW,KDEN,1/31/2020
RPA4664,,a00ce0,KIAH,KPHL,1/31/2020
AAL1953,,a101c3,KLAX,KDFW,1/31/2020
ASA581,,a5bb1b,KPHX,KSEA,1/31/2020
SKW5456,,a1a286,KDFW,KSFO,1/31/2020
UAL1973,,ab417a,KIAH,KSFO,1/31/2020
ASA487,,a835d1,KLAX,KPDX,1/31/2020
AAL2755,,a6ec56,KSEA,KDFW,1/31/2020
AAL2683,,adea26,KDFW,KSFO,1/31/2020
JBU464,,ad9e73,KSEA,KJFK,1/31/2020
UAL2169,,ab7067,KORD,KDFW,1/31/2020
UAL1897,,aa56b3,KLAX,KORD,1/31/2020
AAL883,,a0541b,KPHX,KORD,1/31/2020
AAL2321,,acdbef,KORD,KBOS,1/31/2020
AAL32,,a014c9,KLAX,KJFK,1/31/2020
NCA134,,8478ab,PANC,KORD,1/31/2020
UAL2170,,a43ea2,KORD,KSEA,1/31/2020
SKW5475,,aaa4b3,KLAX,KSEA,1/31/2020
AAL694,,acfd2c,KDFW,KPHL,1/31/2020
NKS245,,a8f6ef,KORD,KLAS,1/31/2020
AAL2197,,a89086,KPHX,KSEA,1/31/2020
DAL2262,,a12c18,KLAX,KJFK,1/31/2020
ASA1426,,accb2b,KSEA,KJFK,1/31/2020
SCX122,,ab3639,KDFW,KLAS,1/31/2020
SKW5957,,a04f49,KSEA,KSFO,1/31/2020
ASA447,,a41d04,KLAX,KSEA,1/31/2020
UAL816,,aa56f8,KSEA,KSFO,1/31/2020
UAL2200,,aacd96,KIAH,KORD,1/31/2020
SKW5628,,a5c504,KIAH,KORD,1/31/2020
DAL1753,,a06a5a,KSEA,KSFO,1/31/2020
AAR248,,71be20,PANC,KORD,1/31/2020
SWA947,,a2afeb,KPHX,KSJC,1/31/2020
DAL1262,,a45051,KPHX,KSEA,1/31/2020
JBU2800,,ace063,KLAX,KFLL,1/31/2020
UAL825,,a4ec2d,KIAH,KDEN,1/31/2020
AAL1936,,ab1fbb,KDFW,KSDF,1/31/2020
AAL556,,a15703,KPHX,KDFW,1/31/2020
AAL2735,,adc2a7,KDFW,KSJC,1/31/2020
AAL433,,a14f95,KDFW,KJFK,1/31/2020
AAL2501,,ad8ed7,KORD,KDFW,1/31/2020
AAL1359,,ad8cec,KORD,KPHL,1/31/2020
UAL376,,a46d26,KPHX,KDEN,1/31/2020
AAL1175,,a0f91d,KDFW,KSFO,1/31/2020
DAL990,,a4414a,KLAX,KSEA,1/31/2020
AAL2418,,ac96be,KDFW,KORD,1/31/2020
AAL2009,,a0fcd4,KDFW,KSEA,1/31/2020
EDV4813,,a30961,KDTW,KJFK,1/31/2020
UAL2000,,aa4c42,KPHX,KORD,1/31/2020
UAL2403,,ab77d5,KIAH,KSEA,1/31/2020
UAL1493,,a16adc,KDFW,KDEN,1/31/2020
AAL2543,,a09188,KLAX,KDFW,1/31/2020
ASA104,,a87428,PANC,KSEA,1/31/2020
NKS2680,,a7d39a,KIAH,KFLL,1/31/2020
AAL1463,,ab3c0d,KDFW,KORD,1/31/2020
KAL261,,71be29,PANC,KORD,1/31/2020
DAL1082,,a403c6,KDTW,KBOS,1/31/2020
ASA423,,a85999,KPHX,KSEA,1/31/2020
NKS975,,a81b2a,KDTW,KDEN,1/31/2020
JBU1932,,aa7c64,KIAH,KBOS,1/31/2020
DAL2208,,aafc36,KDTW,KFLL,1/31/2020
SWA4513,,a722db,KLAX,KDEN,1/31/2020
ASQ4019,,a7d43c,KDTW,KORD,1/31/2020
AAL382,,ac7e09,KLAX,KBOS,1/31/2020
CPZ6052,,a1afc8,KLAX,KSEA,1/31/2020
AAL1156,,ad6116,KORD,KSJC,1/31/2020
DAL653,,a42b32,KLAX,KDEN,1/31/2020
AAL2346,,acce3f,KORD,KDFW,1/31/2020
DAL1490,,a48a8f,KDTW,KLAS,1/31/2020
AAL2830,,ac4a44,KIAH,KDFW,1/31/2020
DAL1701,,a449af,KSEA,KSJC,1/31/2020
DAL2757,,a452c4,KLAX,KSFO,1/31/2020
KAL277,,71c226,PANC,KDFW,1/31/2020
ASA468,,a2d1bc,KLAX,KJFK,1/31/2020
AAL787,,a7302f,KLAX,KORD,1/31/2020
UAL375,,a43e83,KIAH,KORD,1/31/2020
SWA140,,ad2ce1,KLAX,KLAS,1/31/2020
AAL1576,,ad1d3d,KDFW,KFLL,1/31/2020
SWA1762,,a302a0,KLAX,KSFO,1/31/2020
CPZ6032,,a1c5e0,KLAX,KPDX,1/31/2020
AAL2798,,ade66f,KORD,KSFO,1/31/2020
ENY4042,,a920f4,KDTW,KORD,1/31/2020
ASA633,,a59d63,KPHX,KSEA,1/31/2020
DAL2793,,a47597,KSEA,KLAS,1/31/2020
AAL758,,a16a02,KPHX,KDFW,1/31/2020
JBU1336,,a3f0bc,KDTW,KBOS,1/31/2020
